index,department,sales,quantity,transactions,households,sales_share_pct
0,GROCERY,4093814.14,2194762,215411,2500,50.81
1,DRUG GM,1055358.03,353844,118195,2491,13.1
2,PRODUCE,557452.11,319993,89026,2456,6.92
3,MEAT,548786.81,119113,53401,2351,6.81
4,KIOSK-GAS,544222.28,221254887,22056,1371,6.75
5,MEAT-PCKGD,412436.77,148148,58466,2392,5.12
6,DELI,260866.51,67026,35639,2248,3.24
7,PASTRY,121739.86,49820,30099,2281,1.51
8,MISC SALES TRAN,119960.04,36080860,5992,1393,1.49
9,NUTRITION,97669.04,43253,16820,1719,1.21
10,SEAFOOD-PCKGD,63093.62,14003,8873,1654,0.78
11,FLORAL,39653.34,5586,3853,1186,0.49
12,COSMETICS,32360.37,7984,5166,1286,0.4
13,SALAD BAR,30953.3,10659,8418,1157,0.38
14,SEAFOOD,29496.92,4555,3495,836,0.37
15,SPIRITS,21670.88,2290,1922,563,0.27
16,MISC. TRANS.,10678.69,3520,2255,935,0.13
17,GARDEN CENTER,7667.82,1336,579,308,0.1
18,TRAVEL & LEISUR,2550.38,950,853,483,0.03
19,CHEF SHOPPE,2290.8,875,749,382,0.03
20,RESTAURANT,1986.76,504,392,149,0.02
21,COUP/STR & MFG,1027.72,1011,816,442,0.01
22,FROZEN GROCERY,653.26,297,246,173,0.01
23,AUTOMOTIVE,452.66,67,65,61,0.01
24,RX,159.56,15,14,14,0.0
25,GM MERCH EXP,101.1,54,49,33,0.0
26,DAIRY DELI,73.23,77,53,50,0.0
27,CNTRL/STORE SUP,49.05,22,21,20,0.0
28,PHOTO,41.4,19,17,17,0.0
29,DELI/SNACK BAR,36.08,12,11,10,0.0
30,VIDEO,34.77,3,3,3,0.0
31,POSTAL CENTER,24.01,28,20,12,0.0
32,VIDEO RENTAL,21.46,11,4,3,0.0
33,PHARMACY SUPPLY,16.92,8,6,4,0.0
34,PORK,15.7,2,2,2,0.0
35,TOYS,9.84,6,5,4,0.0
36,HBC,9.42,4,4,4,0.0
37,CHARITABLE CONT,7.74,3,2,2,0.0
38,PROD-WHS SALES,7.52,4,4,2,0.0
39,MEAT-WHSE,7.0,7,6,5,0.0
40,HOUSEWARES,2.99,1,1,1,0.0
41,GRO BAKERY,2.18,2,1,1,0.0
42,ELECT &PLUMBING,1.0,1,1,1,0.0
43, ,0.0,0,7392,1423,0.0
